,0
2,0.41279709653802893
3,0.46676267582778613
4,0.38682247762221506
5,0.4053792359370534
6,0.4143760973706591
7,0.3954899053511373
8,0.3505637987916665
9,0.3412011577699177
10,0.34138482071914356
11,0.3768375173031535
12,0.4115423118689576
13,0.424565463562338
14,0.43084813738449934
15,0.431795436443233
16,0.414221760029749
17,0.40626460682803567
18,0.4099484578790769
19,0.41810887803650226
20,0.42605533802719164
21,0.42908632753678144
22,0.42859873921079517
23,0.434939121446934
24,0.4387090900390397
